date,price
Jan 2000,1425.59
Feb 2000,1388.87
Mar 2000,1442.21
Apr 2000,1461.36
May 2000,1418.48
Jun 2000,1461.96
Jul 2000,1473
Aug 2000,1485.46
Sep 2000,1468.05
Oct 2000,1390.14
Nov 2000,1378.04
Dec 2000,1330.93
Jan 2001,1335.63
Feb 2001,1305.75
Mar 2001,1185.85
Apr 2001,1189.84
May 2001,1270.37
Jun 2001,1238.71
Jul 2001,1204.45
Aug 2001,1178.5
Sep 2001,1044.64
Oct 2001,1076.59
Nov 2001,1129.68
Dec 2001,1144.93
Jan 2002,1140.21
Feb 2002,1100.67
Mar 2002,1153.79
Apr 2002,1111.93
May 2002,1079.25
Jun 2002,1014.02
Jul 2002,903.59
Aug 2002,912.55
Sep 2002,867.81
Oct 2002,854.63
Nov 2002,909.93
Dec 2002,899.18
Jan 2003,895.84
Feb 2003,837.03
Mar 2003,846.63
Apr 2003,890.03
May 2003,935.96
Jun 2003,988
Jul 2003,992.54
Aug 2003,989.53
Sep 2003,1019.44
Oct 2003,1038.73
Nov 2003,1049.9
Dec 2003,1080.64
Jan 2004,1132.52
Feb 2004,1143.36
Mar 2004,1123.98
Apr 2004,1133.36
May 2004,1102.78
Jun 2004,1132.76
Jul 2004,1105.85
Aug 2004,1088.94
Sep 2004,1117.66
Oct 2004,1117.21
Nov 2004,1168.94
Dec 2004,1199.21
Jan 2005,1181.41
Feb 2005,1199.63
Mar 2005,1194.9
Apr 2005,1164.43
May 2005,1178.28
Jun 2005,1202.25
Jul 2005,1222.24
Aug 2005,1224.27
Sep 2005,1225.92
Oct 2005,1191.96
Nov 2005,1237.37
Dec 2005,1262.07
Jan 2006,1278.73
Feb 2006,1276.65
Mar 2006,1293.74
Apr 2006,1302.17
May 2006,1290.01
Jun 2006,1253.17
Jul 2006,1260.24
Aug 2006,1287.15
Sep 2006,1317.74
Oct 2006,1363.38
Nov 2006,1388.64
Dec 2006,1416.42
Jan 2007,1424.16
Feb 2007,1444.8
Mar 2007,1406.95
Apr 2007,1463.64
May 2007,1511.14
Jun 2007,1514.19
Jul 2007,1520.71
Aug 2007,1454.62
Sep 2007,1497.12
Oct 2007,1539.66
Nov 2007,1463.39
Dec 2007,1479.22
Jan 2008,1378.76
Feb 2008,1354.87
Mar 2008,1316.94
Apr 2008,1370.47
May 2008,1403.22
Jun 2008,1341.25
Jul 2008,1257.33
Aug 2008,1281.47
Sep 2008,1216.95
Oct 2008,968.8
Nov 2008,883.04
Dec 2008,877.56
Jan 2009,865.58
Feb 2009,805.23
Mar 2009,757.13
Apr 2009,848.15
May 2009,902.41
Jun 2009,926.12
Jul 2009,935.82
Aug 2009,1009.73
Sep 2009,1044.55
Oct 2009,1067.66
Nov 2009,1088.07
Dec 2009,1110.38
Jan 2010,1123.58
Feb 2010,1089.16
Mar 2010,1152.05
Apr 2010,1197.32
May 2010,1125.06
Jun 2010,1083.36
Jul 2010,1079.8
Aug 2010,1087.28
Sep 2010,1122.08
Oct 2010,1171.58
Nov 2010,1198.89
Dec 2010,1241.53
Jan 2011,1282.62
Feb 2011,1321.12
Mar 2011,1304.49
Apr 2011,1331.51
May 2011,1338.31
Jun 2011,1287.29
Jul 2011,1325.19
Aug 2011,1185.31
Sep 2011,1173.88
Oct 2011,1207.22
Nov 2011,1226.42
Dec 2011,1243.32
Jan 2012,1300.58
Feb 2012,1352.49
Mar 2012,1389.24
Apr 2012,1386.43
May 2012,1341.27
Jun 2012,1323.48
Jul 2012,1359.78
Aug 2012,1403.45
Sep 2012,1443.42
Oct 2012,1437.82
Nov 2012,1394.51
Dec 2012,1422.29
Jan 2013,1480.4
Feb 2013,1512.31
Mar 2013,1550.83
Apr 2013,1570.7
May 2013,1639.84
Jun 2013,1618.77
Jul 2013,1668.68
Aug 2013,1670.09
Sep 2013,1687.17
Oct 2013,1720.03
Nov 2013,1783.54
Dec 2013,1807.78
Jan 2014,1822.36
Feb 2014,1817.04
Mar 2014,1863.52
Apr 2014,1864.26
May 2014,1889.77
Jun 2014,1947.09
Jul 2014,1973.1
Aug 2014,1961.53
Sep 2014,1993.23
Oct 2014,1937.27
Nov 2014,2044.57
Dec 2014,2054.27
Jan 2015,2028.18
Feb 2015,2082.2
Mar 2015,2079.99
Apr 2015,2094.86
May 2015,2111.94
Jun 2015,2099.29
Jul 2015,2094.14
Aug 2015,2039.87
Sep 2015,1944.41
Oct 2015,2024.81
Nov 2015,2080.62
Dec 2015,2054.08
Jan 2016,1918.6
Feb 2016,1904.42
Mar 2016,2021.95
Apr 2016,2075.54
May 2016,2065.55
Jun 2016,2083.89
Jul 2016,2148.9
Aug 2016,2170.95
Sep 2016,2157.69
Oct 2016,2143.02
Nov 2016,2164.99
Dec 2016,2246.63
Jan 2017,2275.12
Feb 2017,2329.91
Mar 2017,2366.82
Apr 2017,2359.31
May 2017,2395.35
Jun 2017,2433.99
Jul 2017,2454.1
Aug 2017,2456.22
Sep 2017,2492.84
Oct 2017,2557
Nov 2017,2593.61
Dec 2017,2664.34
Jan 2018,2789.8
Feb 2018,2705.16
Mar 2018,2702.77
Apr 2018,2653.63
May 2018,2701.49
Jun 2018,2754.35
Jul 2018,2793.64
Aug 2018,2857.82
Sep 2018,2901.5
Oct 2018,2785.46
Nov 2018,2723.23
Dec 2018,2567.31
Jan 2019,2602.55
Feb 2019,2707.88
Mar 2019,2749.36
